char,freq,len
味道不错,224313,4
不错,156634,2
好吃,114377,2
环境不错,105226,4
还不错,104122,3
很好吃,92149,3
还可以,72698,3
味道很好,72249,4
挺好的,67179,3
很好,66653,2
环境好,62529,3
很不错,61232,3
服务好,55113,3
环境很好,52271,4
服务很好,52187,4
味道好,50418,3
值得推荐,44665,4
味道还可以,44379,5
挺好吃,40822,3
味道一般,39344,4
服务态度好,38292,5
味道还不错,37761,5
价格实惠,36396,4
非常好,35473,3
很满意,34253,3
口味不错,33038,4
推荐,32755,2
还行吧,31688,3
味道也不错,31157,5
强烈推荐,30892,4
好评,29600,2
服务周到,29508,4
很喜欢,28540,3
环境也不错,28344,5
味道还行,28275,4
还可以吧,27669,4
挺好,26676,2
下次还来,26138,4
还行,25539,2
服务不错,25251,4
服务也很好,23181,5
味道很不错,22420,5
环境一般,21999,4
哈哈,21970,2
性价比高,21482,4
挺不错,21356,3
非常好吃,21351,4
味道可以,21312,4
分量足,20877,3
很实惠,20049,3
非常满意,19023,4
非常不错,18498,4
满意,18050,2
下次再来,17964,4
一般般,17718,3
不错不错,17639,4
可以,17537,2
一般,17484,2
服务也不错,17396,5
经常去,17167,3
赞一个,17114,3
环境,17008,2
不好吃,16755,3
实惠,16684,2
服务也好,16358,4
菜品不错,16309,4
味道挺好,16177,4
喜欢,15994,2
环境优雅,15861,4
环境挺好,15802,4
服务,15802,2
服务一般,15765,4
环境还可以,15723,5
物美价廉,15252,4
棒棒哒,14923,3
服务热情,14800,4
很划算,14649,3
老顾客了,14618,4
经济实惠,13949,4
环境也很好,13784,5
口味一般,13737,4
还会再来,13523,4
经常去吃,13139,4
份量足,13087,3
口味,13027,2
位置好找,12980,4
分量很足,12973,4
老板人很好,12942,5
服务挺好,12813,4
经常来,12775,3
口味很好,12384,4
环境也好,12310,4
上菜速度快,11950,5
下次还去,11857,4
还好吧,11850,3
一般吧,11509,3
很棒,11458,2
菜品丰富,11428,4
上菜快,11228,3
还好,10861,2
下次还会来,10839,5
离家近,10784,3
味道也很好,10661,5
干净卫生,10378,4
下次还会去,10237,5
经常来吃,9978,4
环境还不错,9957,5
服务很周到,9957,5
不用排队,9914,4
环境可以,9803,4
位置很好找,9742,5
性价比很高,9644,5
菜品新鲜,9597,4
好吃不贵,9413,4
很方便,9188,3
口味好,9182,3
特别好吃,9130,4
不错哦,9114,3
超级好吃,8965,4
真心不错,8855,4
量很足,8849,3
价格便宜,8605,4
环境还行,8373,4
量足,8300,2
人不多,8274,3
老板很热情,8269,5
非常棒,8244,3
人很多,8232,3
还不错吧,8179,4
呵呵,8153,2
一般般吧,8016,4
味道很棒,7877,4
第二次来了,7834,5
环境优美,7807,4
服务非常好,7777,5
味道非常好,7753,5
份量很足,7701,4
口感不错,7587,4
味道也好,7484,4
哈哈哈,7372,3
口味还可以,7213,5
方便,7195,2
服务还可以,7174,5
经常吃,7121,3
蛋糕很好吃,7074,5
值得一去,7004,4
特别好,6997,3
走到哪,6947,3
很赞,6939,2
上菜很快,6917,4
干净,6906,2
总体不错,6833,4
赞赞赞,6755,3
差评,6730,2
菜品一般,6703,4
还会再来的,6647,5
谢谢,6513,2
态度很好,6509,4
复制到哪,6508,4
好吃好吃,6473,4
环境很不错,6468,5
口味还行,6374,4
很热情,6353,3
味道一般般,6275,5
便宜,6243,2
感觉不错,6201,4
还会再去,6104,4
挺实惠,6089,3
口味也不错,6075,5
很新鲜,6059,3
服务到位,6022,4
非常喜欢,6014,4
味道还好,5978,4
第一次去,5953,4
环境非常好,5877,5
服务还行,5870,4
味道也可以,5853,5
感觉还不错,5823,5
好好吃,5800,3
东西不错,5748,4
环境也可以,5639,5
味道很赞,5636,4
团购很划算,5588,5
量大,5507,2
口味还不错,5476,5
味道,5475,2
态度好,5385,3
点赞,5338,2
第一次来,5288,4
划算,5226,2
